name,link,price,store_name
"Microsoft Surface Go 2 10.5"" Intel Pentium 1.7Ghz (2 Cores/4 Threads), 8GB RAM, 128GB SSD, 1920x1080 Touch-Screen $400",https://slickdeals.net/f/15604291-microsoft-surface-go-2-10-5-intel-pentium-1-7ghz-2-cores-4-threads-8gb-ram-128gb-ssd-1920x1080-touch-screen-400,$400,Best Buy
Replenished Stock of Brother Factory Refurbished Monochrome and Color Laser Printers $89.99,https://slickdeals.net/f/15603931-replenished-stock-of-brother-factory-refurbished-monochrome-and-color-laser-printers-89-99,$89.99,
"27"" Acer Predator XB271HU 2560x1440 144Hz G-Sync IPS Monitor",https://slickdeals.net/f/15602512-predator-gaming-monitor-xb271hu-bmiprz-27-2k-ips-350nits-g-sync-300-299-99,$300,
Samsung Geek Squad Certified Refurbished 970 EVO Plus 500GB Internal PCI Express 3.0 x4 (NVMe) SSD with V-NAND Technology GSRF MZ-V7S500BAM - $49.99,https://slickdeals.net/f/15603907-samsung-geek-squad-certified-refurbished-970-evo-plus-500gb-internal-pci-express-3-0-x4-nvme-ssd-with-v-nand-technology-gsrf-mz-v7s500bam-49-99,$49.99,Best Buy
Kingston NV1 1TB M.2 2280 NVMe PCIe Internal SSD Up to 2100 MB/s SNVS/1000G SNVS/1000G - $85.99,https://slickdeals.net/f/15603883-kingston-nv1-1tb-m-2-2280-nvme-pcie-internal-ssd-up-to-2100-mb-s-snvs-1000g-snvs-1000g-85-99,$85.99,Best Buy
Kingston NV1 2TB M.2 2280 NVMe PCIe Internal SSD Up to 2100 MB/s SNVS/2000G SNVS/2000G - $176.99,https://slickdeals.net/f/15603889-kingston-nv1-2tb-m-2-2280-nvme-pcie-internal-ssd-up-to-2100-mb-s-snvs-2000g-snvs-2000g-176-99,$176.99,Best Buy
SanDisk Ultra 500GB PCIe Gen 3 x4 NVMe Internal Solid State Drive SDSSDH3N-500G-G25 - $49.99,https://slickdeals.net/f/15603832-sandisk-ultra-500gb-pcie-gen-3-x4-nvme-internal-solid-state-drive-sdssdh3n-500g-g25-49-99,$49.99,Best Buy
"Acer Chromebook 311: 11.6"" HD, MediaTek MT8183C, 4GB RAM, 32GB eMMC $109 + Free Curbside Pickup at Best Buy or FS",https://slickdeals.net/f/15602548-acer-chromebook-311-11-6-hd-mediatek-mt8183c-4gb-ram-32gb-emmc-109-free-curbside-pickup-at-best-buy-or-fs,$109,Best Buy
Crucial 16GB (2 x 8GB) 204-Pin DDR3 SO-DIMM DDR3L 1600 (PC3L 12800) Laptop Memory Model CT2KIT102464BF160B - $46.32,https://slickdeals.net/f/15603730-crucial-16gb-2-x-8gb-204-pin-ddr3-so-dimm-ddr3l-1600-pc3l-12800-laptop-memory-model-ct2kit102464bf160b-46-32,$46.32,Newegg
MoCA Ethernet Adapter 2.5 4 ports - $99 at Verizon,https://slickdeals.net/f/15602242-moca-ethernet-adapter-2-5-4-ports-99-at-verizon,$99.99,
Samsung - Odyssey Gaming Monitor CRG5 Series 24” LED Curved FHD FreeSync $199.99 + Free Ship,https://slickdeals.net/f/15602788-samsung-odyssey-gaming-monitor-crg5-series-24-led-curved-fhd-freesync-199-99-free-ship,$199.99,Amazon
Costco Members: Razer Huntsman Gaming Bundle (Keyboard + Mouse + Headset + Pad),https://slickdeals.net/f/15602065-costco-razer-gaming-bundle-with-huntsman-v2-tkl-keyboard-blackshark-v2-headset-viper-ultimate-mouse-gigantus-mouse-pad-149-99-4-99-s-h-154-98,$150,Costco Wholesale
"4th Gen Apple iPad Air 64GB -  It's back at Costco, but only until Feb. 4",https://slickdeals.net/f/15602320-4th-gen-apple-ipad-air-64gb-it-s-back-at-costco-but-only-until-feb-4,$499,Costco Wholesale
"TCL Linkhub AC1200 Dual-Band Gigabit Mesh Wi-Fi Router: 2-pack $40, 3-pack $60 + free s/h at B&H Photo",https://slickdeals.net/f/15602419-tcl-linkhub-ac1200-dual-band-gigabit-mesh-wi-fi-router-2-pack-40-3-pack-60-free-s-h-at-b-h-photo,$40,B&H Photo Video
PNY 256GB PRO Elite Class 10 U3 V30 microSDXC Flash Memory Card for $29.99,https://slickdeals.net/f/15602392-pny-256gb-pro-elite-class-10-u3-v30-microsdxc-flash-memory-card-for-29-99,$29.99,Amazon
AMD Ryzen 7 5800X 3.8 GHz 8-Core AM4 Processor,https://slickdeals.net/f/15601642-amd-ryzen-7-5800x-3-8-ghz-8-core-am4-processor-330-free-shipping,$330,B&H Photo Video
New Sam's Club Members: 1-Year Sam's Club Membership + $45 Sam's Club eGift Card,https://slickdeals.net/f/15601390-new-sam-s-club-members-1-year-sam-s-club-membership-45-sam-s-club-egc,$45,Sam's Club
ASUS ROG Strix Scar 15 (2021) Gaming Laptop for $1999.99,https://slickdeals.net/f/15602413-asus-rog-strix-scar-15-2021-gaming-laptop-for-1999-99,"$1,999.99",Newegg
Intel Core i5 12400 2.5GHz 6-Core Alder Lake Desktop Processor w/ Cooler,https://slickdeals.net/f/15601396-intel-core-i5-12400-alder-lake-2-5ghz-six-core-lga-1700-boxed-processor-intel-stock-cooler-included-169-99-tax-microcenter-b-m-in-store-only,$170,
Logitech MX Master 3 Advanced Wireless Mouse $89.64,https://slickdeals.net/f/15602017-logitech-mx-master-3-advanced-wireless-mouse-89-64,$88.63,Amazon
New Micro Center Customers: Creality Ender 3 Pro 3D Printer,https://slickdeals.net/f/15600457-new-micro-center-customers-creality-ender-3-pro-3d-printer-99-99-with-coupon,$100,Micro Center
Logitech K480 Multi Device Bluetooth Keyboard $16.99,https://slickdeals.net/f/15601810-logitech-k480-multi-device-bluetooth-keyboard-16-99,$16.99,
,https://slickdeals.net/computer-deals/?page=3,,
Lenovo Select FHD Webcam at Lenovo.com for $19,https://slickdeals.net/f/15601741-lenovo-select-fhd-webcam-at-lenovo-com-for-19,$18.89,
"ASUS - 11.6"" Laptop - Intel Celeron N4020 - 4GB Memory - 64GB eMMC - Star Black $150 + Free Ship",https://slickdeals.net/f/15600847-asus-11-6-laptop-intel-celeron-n4020-4gb-memory-64gb-emmc-star-black-150-free-ship,$149.99,Best Buy
Sandisk 2 TB Extreme Pro Portable SSD - upto 2000MB/s $289,https://slickdeals.net/f/15601885-sandisk-2-tb-extreme-pro-portable-ssd-upto-2000mb-s-289,$289,Amazon
Canon imageCLASS MF641CW Color All-in-One Laser Printer WIth Wireless (YMMV) $202,https://slickdeals.net/f/15600328-canon-imageclass-mf641cw-color-all-in-one-laser-printer-with-wireless-ymmv-202,$202,Walmart
Corsair Vengeance RGB PRO 16GB (2x8GB) DDR4 3200MHz C16 LED Desktop Memory - Black $79.99,https://slickdeals.net/f/15601948-corsair-vengeance-rgb-pro-16gb-2x8gb-ddr4-3200mhz-c16-led-desktop-memory-black-79-99,$79.99,Amazon
CORSAIR MM500 Extended 3XL Gaming Mouse Pad - $39.99,https://slickdeals.net/f/15601936-corsair-mm500-extended-3xl-gaming-mouse-pad-39-99,$39.99,GameStop
CODi Falco HD 1080p Webcam $13.94,https://slickdeals.net/f/15601921-codi-falco-hd-1080p-webcam-13-94,$13.94,Staples
Ymmv amex offer 10% back at dell up to 1500 expires 8/1,https://slickdeals.net/f/15601057-ymmv-amex-offer-10-back-at-dell-up-to-1500-expires-8-1,,
"Costco Members: Dell Inspiron 13.3"" Laptop: i5-11320H, 16GB DDR4, 512GB SSD $599",https://slickdeals.net/f/15600676-costco-members-dell-inspiron-13-3-laptop-i5-11320h-16gb-ddr4-512gb-ssd-599,$599,
Crucial P5 Plus 2TB PCIe 4.0 (Gen4) 3D NAND NVMe M.2 SSD CT2000P5PSSD8 $244 after clipping coupon YMMV,https://slickdeals.net/f/15601072-crucial-p5-plus-2tb-pcie-4-0-gen4-3d-nand-nvme-m-2-ssd-ct2000p5pssd8-244-after-clipping-coupon-ymmv,$244,Amazon
"Samsung EDU/EPP: 28"" Samsung Odyssey G70A 4K 144Hz G-Sync IPS Gaming Monitor",https://slickdeals.net/f/15600100-samsung-edu-epp-28-samsung-odyssey-g70a-4k-144hz-g-sync-ips-gaming-monitor-587-99,$588,
Samsung 32” S70A UHD HDR Monitor EPP/EDU/Perks @ Work  LS32A700NWNXZA $293.99,https://slickdeals.net/f/15601648-samsung-32-s70a-uhd-hdr-monitor-epp-edu-perks-work-ls32a700nwnxza-293-99,$293.99,Samsung
"1-Year Quicken Personal Finance (Windows/Mac): Premier $38, Deluxe",https://slickdeals.net/f/15599644-quicken-physical-deluxe-26-99-premier-37-99-home-business-49-99,$27,Newegg
"Inland Performance 1TB PCIe Gen 4.0 NVMe 4 x4 SSD M.2 2280 TLC 3D NAND Internal Solid State Drive, R/W Speed up to 5000MB/s and 4300MB/s, 1800 TBW - $109.99",https://slickdeals.net/f/15600826-inland-performance-1tb-pcie-gen-4-0-nvme-4-x4-ssd-m-2-2280-tlc-3d-nand-internal-solid-state-drive-r-w-speed-up-to-5000mb-s-and-4300mb-s-1800-tbw-109-99,$109.99,Amazon
MicroCenter Coupon: $25 Off No Minimum In-Store Purchase Only,https://slickdeals.net/f/15599461-submit-your-computer-build-get-25-off-microcenter-purchase-no-minimums,Free,
Apple 10.9-inch iPad Air Wi-Fi 256GB - Silver - Walmart.com $650,https://slickdeals.net/f/15600406-apple-10-9-inch-ipad-air-wi-fi-256gb-silver-walmart-com-650,$650,Walmart
"Cooler Master V850 SFX Gold Full Modular, 850W Power Supply - $133 @Amazon",https://slickdeals.net/f/15600733-cooler-master-v850-sfx-gold-full-modular-850w-power-supply-133-amazon,$133,Amazon
Intel Core i5-12600K - Core i5 12th Gen Alder Lake 10-Core 3.7 GHz LGA 1700 $279.99 at B&H Photo,https://slickdeals.net/f/15599998-intel-core-i5-12600k-core-i5-12th-gen-alder-lake-10-core-3-7-ghz-lga-1700-279-99-at-b-h-photo,$279.99,B&H Photo Video
[Refurbished] TP-LINK AC5400 MU-MIMO Tri-Band Wi-Fi Router with Comprehensive Network Security for Gaming and Entertainment (Archer C5400X) + Free Shipping $128.99,https://slickdeals.net/f/15601108-refurbished-tp-link-ac5400-mu-mimo-tri-band-wi-fi-router-with-comprehensive-network-security-for-gaming-and-entertainment-archer-c5400x-free-shipping-128-99,$128.99,Newegg
Kaspersky Total Internet Security 2022 1 Year / 5 Devices Download $14.99,https://slickdeals.net/f/15600877-kaspersky-total-internet-security-2022-1-year-5-devices-download-14-99,$14.99,Newegg
"Microsoft Surface Pro 8 Bundle (pen, keyboard) from Costco (online and in-store) $1199",https://slickdeals.net/f/15600271-microsoft-surface-pro-8-bundle-pen-keyboard-from-costco-online-and-in-store-1199,"$1,199.99",Costco Wholesale
EVGA SuperNOVA G5 80 Plus Gold 1000 Watt Fully Modular Power Supply $150 + Free Shipping,https://slickdeals.net/f/15600772-evga-supernova-g5-80-plus-gold-1000-watt-fully-modular-power-supply-150-free-shipping,$150,Amazon
ADATA SU635 480GB 3D-NAND SATA 2.5 inch Internal SSD (ASU635SS-480GQ-R) - $39.99,https://slickdeals.net/f/15600739-adata-su635-480gb-3d-nand-sata-2-5-inch-internal-ssd-asu635ss-480gq-r-39-99,$39.99,Amazon
"Lexar NQ100 960GB 2.5” SATA III Internal SSD, Solid State Drive, Up to 550MB/s Read (LNQ100X960G-RNNNU) - $81.99",https://slickdeals.net/f/15600700-lexar-nq100-960gb-2-5-sata-iii-internal-ssd-solid-state-drive-up-to-550mb-s-read-lnq100x960g-rnnnu-81-99,$81.99,Amazon
Mushkin Redline Notebook – DDR4 Gaming Laptop DRAM – 16GB (2x8GB) SODIMM Memory Kit – 3200MHz (PC4-25600) 260-pin Dual-Channel $56.99,https://slickdeals.net/f/15600682-mushkin-redline-notebook-ddr4-gaming-laptop-dram-16gb-2x8gb-sodimm-memory-kit-3200mhz-pc4-25600-260-pin-dual-channel-56-99,$56.99,Amazon
"Dell Inspiron 15 3000 Laptop: 15.6"" 1080p, i3-1115G4, 4GB DDR4, 128GB NVMe",https://slickdeals.net/f/15599407-dell-inspiron-15-3000-laptop-15-6-1080p-i3-1115g4-4gb-ddr4-128gb-nvme-300-or-less-w-sd-cashback-free-s-h,$300,Dell Home & Office
"Microsoft Surface Pro 7+ 2-in-1 w/ Cover: Core i3, 12.3"", 8GB RAM, 128GB Storage",https://slickdeals.net/f/15599068-microsoft-surface-pro-7-2-in-1-w-cover-core-i3-12-3-8gb-ram-128gb-storage-599-free-shipping-at-walmart,$599,Walmart
One by Wacom Student drawing tablet for $39.95,https://slickdeals.net/f/15600367-one-by-wacom-student-drawing-tablet-for-39-95,$39.95,Amazon
,https://slickdeals.net/computer-deals/?page=4,,
"LG Ultra Gear 32"" Class QHD Gaming Monitor $249.99 at Costco",https://slickdeals.net/f/15600268-lg-ultra-gear-32-class-qhd-gaming-monitor-249-99-at-costco,$249.99,
"Brother Factory Refurbished HLL2390DW Monochrome Laser All-in-One Printer with Duplex, Wireless $149.99",https://slickdeals.net/f/15600310-brother-factory-refurbished-hll2390dw-monochrome-laser-all-in-one-printer-with-duplex-wireless-149-99,$149.99,Staples
"Amex Offers: Spend $599+ at Dell.com, Get",https://slickdeals.net/f/15598414-american-express-offer-spend-599-or-more-get-120-back-dell-com-expires-04-02-2022,$120 Credit,
eero Pro 6 AX4200 Tri-Band Mesh Wi-Fi 6 Router (1-pack) $190,https://slickdeals.net/f/15600043-eero-pro-6-ax4200-tri-band-mesh-wi-fi-6-router-1-pack-190,$190,Best Buy
Microcenter Stores: AMD Ryzen 7 5800X 3.8 GHz 8-Core AM4 Processor,https://slickdeals.net/f/15598300-amd-ryzen-7-5800x-cpu-299-99-microcenter-in-store-or-ymmv-pm-to-bb,$300,
TP-Link Deco X55 AX3000 Whole Home Mesh WiFi 6 System 3-Pack 6500 Sq.Ft - $249.99,https://slickdeals.net/f/15599920-tp-link-deco-x55-ax3000-whole-home-mesh-wifi-6-system-3-pack-6500-sq-ft-249-99,$249.99,Amazon
"Lenovo ThinkBook 13s Gen 3 Laptop: Ryzen 5 5600U, 13.3"" IPS, 16GB RAM, 512GB SSD",https://slickdeals.net/f/15598207-lenovo-thinkbook-13s-g3-13-3-fhd-ips-ryzen-5-5600u-16gb-lpddr4x-512gb-pcie-ssd-win10-pro-649-99-f-s,$650,eBay
Facebook Portal - 10” Touch Screen Display: 2 for $108 ($54 each) + free s/h at Amazon,https://slickdeals.net/f/15599452-facebook-portal-10-touch-screen-display-2-for-108-54-each-free-s-h-at-amazon,$108,Amazon
"Asus Chromebook Flip 2-in-1 Laptop: Ryzen 5-3500C, 15.6"" 1080p IPS Touchscreen, 8GB DDR4, 128GB SSD, Vega 8, Chrome OS $399.99 + S/H @ Costco",https://slickdeals.net/f/15599314-asus-chromebook-flip-2-in-1-laptop-ryzen-5-3500c-15-6-1080p-ips-touchscreen-8gb-ddr4-128gb-ssd-vega-8-chrome-os-399-99-s-h-costco,$399.99,Costco Wholesale
Team C171 64GB USB 2.0 Flash Drive Model TC17164GB01 $5.49,https://slickdeals.net/f/15598813-team-c171-64gb-usb-2-0-flash-drive-model-tc17164gb01-5-49,$5.49,Newegg
"64GB Apple iPad Air 10.9"" WiFi Tablet (4th Gen., Various Colors)",https://slickdeals.net/f/15596953-latest-10-9-apple-ipad-air-64gb-wifi-4th-gen-tablet-various-colors-499-99-free-shipping-at-best-buy,$500,Best Buy
"Costco Members: 31.5"" Acer ET322QU 2560x1440 75Hz 4ms FreeSync IPS Monitor",https://slickdeals.net/f/15597319-costco-members-acer-32-class-wqhd-ips-freesync-monitor-model-et322qu-199-99,$200,Costco Wholesale
Insignia Bluetooth Mouse (Black),https://slickdeals.net/f/15596968-insignia-bluetooth-mouse-black-10-free-store-pickup,$10,Best Buy
"GIGABYTE G34WQC A 34"" 144Hz Ultrawide Curved Gaming Monitor, 3440 x 1440 for &430 - $430",https://slickdeals.net/f/15598531-gigabyte-g34wqc-a-34-144hz-ultrawide-curved-gaming-monitor-3440-x-1440-for-430-430,$430,Amazon
"Acer Aspire 5 15.6"" FHD Laptop Ryzen 3 3550U 4GB DDR4 128GB SSD A515-46-R3UB $340",https://slickdeals.net/f/15598375-acer-aspire-5-15-6-fhd-laptop-ryzen-3-3550u-4gb-ddr4-128gb-ssd-a515-46-r3ub-340,$340,Amazon
SanDisk 400GB Ultra microSDXC UHS-I Memory Card with Adapter for $39.99,https://slickdeals.net/f/15598264-sandisk-400gb-ultra-microsdxc-uhs-i-memory-card-with-adapter-for-39-99,$39.99,Amazon
WD Blue 4TB Desktop Hard Disk Drive $59.99 at Newegg,https://slickdeals.net/f/15597307-wd-blue-4tb-desktop-hard-disk-drive-59-99-at-newegg,$59.99,Newegg
32” LG Ultragear 32GP850 2560x1440 QHD 165Hz IPS FreeSync Gaming Monitor,https://slickdeals.net/f/15596824-32-lg-ultragear-32gp850-2560x1440-qhd-165hz-ips-freesync-gaming-monitor-397-free-shipping,$397,Adorama
"Acer Chromebook Spin 713: i5-1135G7, 13.5"" 2256x1504 Touch, 8GB RAM, 256GB SSD",https://slickdeals.net/f/15596812-acer-chromebook-spin-713-i5-1135g7-13-5-2256x1504-touch-8gb-ram-256gb-ssd-499-free-shipping,$499,eBay
"240GB PNY CS900 2.5"" SATA III Internal Solid State Drive $26 + Free Shipping",https://slickdeals.net/f/15597040-240gb-pny-cs900-2-5-sata-iii-internal-solid-state-drive-26-free-shipping,$26,Amazon
"In Store Only - MSI Katana GF66 11UE-031 15.6"" Laptop Computer - Black Intel Core i7 11th Gen 11800H 2.3GHz; NVIDIA GeForce RTX 3060 6GB GDDR6; 16GB DDR4-3200 RAM; 1TB SSD $999.99",https://slickdeals.net/f/15597082-in-store-only-msi-katana-gf66-11ue-031-15-6-laptop-computer-black-intel-core-i7-11th-gen-11800h-2-3ghz-nvidia-geforce-rtx-3060-6gb-gddr6-16gb-ddr4-3200-ram-1tb-ssd-999-99,$999.99,Micro Center
"Acer Swift 3 Thin & Light Laptop | 14"" Full HD IPS 100% sRGB Display for $580",https://slickdeals.net/f/15598282-acer-swift-3-thin-light-laptop-14-full-hd-ips-100-srgb-display-for-580,$580,Amazon
"Samsung Odyssey 49"" Class Dual QHD Curved Gaming Monitor 899.99 $899.99",https://slickdeals.net/f/15596983-samsung-odyssey-49-class-dual-qhd-curved-gaming-monitor-899-99-899-99,$899.99,Costco Wholesale
"MSI GF65 Gaming Laptop: 15.6"" 144hz, i5 10500H, 512GB SSD, RTX 3060",https://slickdeals.net/f/15596446-msi-gf65-15-6-144hz-gaming-laptop-i5-10500h-rtx3060-512gb-ssd-black-850,$850,eBay
"Lenovo ThinkPad x13 Gen 2, i5-1135G7, 8GB LPDDR4X, 256GB SSD $803.6",https://slickdeals.net/f/15597868-lenovo-thinkpad-x13-gen-2-i5-1135g7-8gb-lpddr4x-256gb-ssd-803-6,$803.60,
"500GB PNY CS900 3D NAND 2.5"" SATA III Internal Solid State Drive $43.99 + Free Shipping @ Best Buy",https://slickdeals.net/f/15597682-500gb-pny-cs900-3d-nand-2-5-sata-iii-internal-solid-state-drive-43-99-free-shipping-best-buy,$43.99,Best Buy
"Microsoft Surface Laptop 4 - 13.5"" Touchscreen Laptop - Intel Core i7-1185G7 - 2256 x 1504 Display - Windows 10 - Black $1399.99",https://slickdeals.net/f/15597856-microsoft-surface-laptop-4-13-5-touchscreen-laptop-intel-core-i7-1185g7-2256-x-1504-display-windows-10-black-1399-99,"$1,399.99",Costco Wholesale
